"INPUT","ID","RESPONSE"
"adios","greetings.bye","hasta la proxima"
"bye","greeetings.bye","te veo pronto!"
"camara","greetings.bye","adios"
"hola","greetings.hello","hola"
"quero mas informacion general sobre el proyecto modular","coordination.modular.general","Aqui esta toda la informacion sobre proyectos modulares http://www.cucei.udg.mx/carreras/electronica/sites/default/files/adjuntos/proyectos_modulares_2017.pdf"
"cuando fecha de entrega del proyecto modular","coordination.modular.timming","El proyecto modular se entrega el dia 15 de diciembre"
"Hola! Alguna novedad del movimiento de créditos?","coordination.credits","El movimiento de creditos se realiza antes de finalizar el semestre. Se subira un formulario a facebook https://www.facebook.com/ing.cucei"
"Aún no abren las materias por movilidad?","coordination.subjects.schedule.movilidad","Las materias por movilidad se publican la segunda semana de inicio de clases en la pagina de facebook: https://www.facebook.com/ing.cucei . Se pueden agendar en la tercera semana de clases"
"Aun puedo meter licencia para este semestre?","coordination.licencia","La fecha limite para meter licencia es la segunda semana despues de iniciar semestre"
"Como puedo solicitar una licencia?","coordination.licencia.howto","Para solicitar una licencia levanta un ticket con todos tus datos y la razon por la cual deseas obtener una licencia"
"¿Cómo me puedo cambiar de carrera en la misma Universidad de Guadalajara?","udg.general.carreer.change","Para cambiar de carrera, es necesario que te des de baja la carrera actual y realizar los trámites de ingreso a la carrera de tu elección, tomando en cuenta los requisitos y las fechas especificadas en el calendario de trámites. En caso de requerir la revalidación de materias, se tendrá que consultar con la Coordinación de Control Escolar del Centro Universitario a donde se hará el cambio."
"Quiero estudiar una segunda carrera o una carrera simultánea.","udg.general.second.carreer","No es posible ser alumno ni aspirante de 2 licenciaturas. Si el sistema te detecta como alumno siendo aspirante, automáticamente te da de baja."
"¿Cuándo son las inscripciones?","udg.general.inscripcion","Los periodos de trámites en la Universidad de Guadalajara para aspirantes a licenciatura son durante el mes de febrero y en el mes de septiembre de cada año. Para más información, ingresa a www.escolar.udg.mx, donde podrás realizar las siguientes búsquedas:

Registro de trámites
http://www.escolar.udg.mx/aspirantes/registro-de-tramites

Seguimiento de trámites
http://tramitepi.escolar.udg.mx/SeguimientoPI/

Documentación requerida, de acuerdo al nivel educativo que deseas cursar
http://www.escolar.udg.mx/aspirantes/documentacion

Calendarios
http://www.escolar.udg.mx/aspirantes/calendarios

Estudios realizados en el extranjero
http://www.escolar.udg.mx/aspirantes/estudios-realizados-en-el-extranjero"
"¿Cómo revalido materias si hice un cambio de carrera?","udg.general.carreer.validate.subjects","Si realizaste estudios de alguna carrera, total o parcialmente, y deseas revalidar materias, deberás acudir a la coordinación de control escolar, del centro universitario, y solicitar los requisitos correspondientes."
"¿La Universidad ofrece becas? ¿Cuáles?","udg.scholarship","En el siguiente enlace: https://udg.mx/es/becas podrás encontrar información de las diversas convocatorias que ofrecen las diferentes dependencias, departamentos académicos y otras instituciones educativas u organismos para la comunidad universitaria."
"Malla curricular","coordination.curriculum","toda la informacion de tu malla curricular la puedes encontrar en la siguiente liga: http://www.cucei.udg.mx/carreras/computacion/?q=contenido/malla-curricular-inco"
"Como puedo solicitar una licencia? Que necesito para tramitar una licencia? Pasos para tramitar una licencia?","coordination.licencia","Ser alumno regular de alguna licenciatura (no deber ninguna materia para el calendario en el que se pide permiso).
Pagar la orden de pago del calendario que se desea faltar.
No registrar materias y en el caso de hacerlo pedir que se eliminen.
Solicitar en http://escolar.cucei.udg.mx/cescolar licencia por el semestre actual.
Realizar el pre-registro de materias de acuerdo al calendario de actividades.
Presentarse con el coordinador de su carrera antes de que termine el semestre para checar su agenda y pagar la orden de pago."
"Qué pasa con las materias optativas que estaban en listas el semestre pasado pero ahora dice ""CRN no ofertado para tu carrera por movilidad"", no se pueden agendar de ningún modo?","coordination.optativa.agenda.reprobada","En caso de que sea una materia optativa que reprobó, debe de mandar sus datos y de la materia"
"No me permite registrar, me aparece el siguiente mensaje: ""El CRN no está ofertado para tu carrera y centro por movilidad""","coordinatino.error.registro","El registro parece estar cerrado. Porfavor intentalo de nuevo mas tarde"
"Cuando se puede hacer el registro por movilidad? Me dice que mi agenda no permite registro","coordination.timming.movilidad.registro","El registro de materias por movilidad estara disponible apartir de la segunda semana de clases. Puede tardar 1 o 2 dias en activarse movilidad"
"Si estara abierta la especializacion selectiva de fisica?","coordination.fisica.especializante","La materia de fisica se registra automaticamente para los de primer ingreso en caso de tener que repetirla o no haberla tomado en primer semestre la podras agendar por movilidad"
"Como agendar la materia especializante de fisica?","coordination.fisica.especializante","La materia de fisica se registra automaticamente para los de primer ingreso en caso de tener que repetirla o no haberla tomado en primer semestre la podras agendar por movilidad"
"Hola ¿Cómo puedo saber quién es mi tutor?","coordination.tutor","Tu tutor se comunicara contigo via email usando el correo institucional"
"Etapas de la Tutoría. Tipos de tutoria","coordination.etapas.tutoria","Hay tres tipos de tutoria:

1. Para alumnos de primero y segundo semestre

2. Para alumnos de tercero a séptimo

3. Para alumnos de último semestre"
"bolsa de trabajo","bolsa.trabajo","http://cucei.udg.mx/carreras/computacion/?q=contenido/bolsa-de-trabajo"
"Abrirán más cupos para Optativas abiertas? cupos para especializantes materias especializantes optativas habra cupos? ","coordination.subjects.cupos","Los cupos de las materias se abren de poco en poco conforme va pasando el dia y los dias. Permitiendo que primero se llenen aquellas materias que aun disponen de cupos"
"Cual es el correo de la coordinacion?","coordination.email","El correo de coordinación es cdcomp@cucei.udg.mx"
"Son todas las materias especializantes disponibles? O habrá más?","coordination.especializante","Todas la materias especializantes disponibles se publicaran en la pagina de facebook https://www.facebook.com/ing.cucei/"
